Internship_ID,Company_Name,Sector,Smart_City_Assigned,Fallback_City,Domain,Required_Skills,Required_Language,Location,Capacity,Reserved_Seats,Rural_Urban_Distribution,Duration,Stipend,Mode,Type,Minimum_Qualification,Min_CGPA,Eligibility_Stream,Application_Deadline
I0011,Microsoft India,IT,Nagpur,Mumbai,Mobility,Blockchain,Regional,Nagpur,33,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 3}","{'Urban': 23, 'Rural': 10}",6 months,0,Hybrid,NGO,UG,7.2,"Engineering, Science",2025-11-13
I0012,Tata Motors,Manufacturing,Delhi,Gurugram,Governance,"Python, Cybersecurity, Finance, ML",English,Delhi,35,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 24, 'Rural': 11}",3 months,0,Offline,Corporate,UG,7.4,"Management, Commerce",2025-09-30
I0013,Amazon India,IT,Gurugram,Chennai,Governance,"Marketing, IoT, App Dev",Hindi,Gurugram,49,"{'GEN': 24, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 34, 'Rural': 15}",6 months,15000,Hybrid,Corporate,UG,8.2,"Science, Engineering",2025-11-09
I0014,Tata Consultancy Services,IT,Bhopal,Indore,Waste Management,Python,Hindi,Bhopal,24,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 8}",4 months,10000,Hybrid,Corporate,PhD,6.5,"Science, Engineering",2025-11-01
I0015,HAL,Manufacturing,Lucknow,Kanpur,Mobility,"SQL, Python, Public Policy",Regional,Lucknow,22,"{'GEN': 11, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 15, 'Rural': 7}",6 months,10000,Online,Research,PhD,8.2,"Management, Commerce",2025-09-24
I0016,ISRO,Research,Bangalore,Mysuru,Waste Management,"App Dev, AI",Hindi,Bangalore,45,"{'GEN': 22, 'OBC': 12, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 31, 'Rural': 14}",6 months,0,Offline,NGO,UG,7.4,"Commerce, Management",2025-09-26
I0017,Maruti Suzuki,Manufacturing,Patna,Gaya,Healthcare,"Cloud, Finance, IoT",Regional,Patna,60,"{'GEN': 30, 'OBC': 16, 'SC': 9, 'ST': 4, 'EWS': 1}","{'Urban': 42, 'Rural': 18}",6 months,0,Hybrid,Corporate,UG,8.2,"Management, Commerce",2025-10-06
I0018,Fortis Healthcare,Healthcare,Bhopal,Indore,Healthcare,"Python, Blockchain",Regional,Bhopal,39,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 27, 'Rural': 12}",6 months,0,Online,Government,PhD,7.0,"Engineering, Science",2025-11-30
I0019,ONGC,Energy,Ahmedabad,Surat,Energy,Blockchain,Regional,Ahmedabad,56,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 1}","{'Urban': 39, 'Rural': 17}",2 months,15000,Online,Government,UG,7.3,"Arts, Management",2025-12-04
I0020,Fortis Healthcare,Healthcare,Gurugram,Chennai,Healthcare,"Data Science, Web Dev",English,Gurugram,23,"{'GEN': 11, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 7}",6 months,0,Offline,Corporate,UG,8.2,"Science, Engineering",2025-09-30
I0021,Infosys,IT,Ahmedabad,Surat,Healthcare,"ML, Java, App Dev",Regional,Ahmedabad,38,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 26, 'Rural': 12}",4 months,5000,Offline,Government,PG,7.9,"Arts, Management",2025-11-13
I0022,Tata Motors,Manufacturing,Jaipur,Delhi,Water Supply,"Cloud, Web Dev, Marketing",Hindi,Jaipur,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",4 months,5000,Hybrid,Government,PG,6.5,"Arts, Management",2025-10-26
I0023,Fortis Healthcare,Healthcare,Chennai,Coimbatore,Healthcare,AI,Hindi,Chennai,60,"{'GEN': 30, 'OBC': 16, 'SC': 9, 'ST': 4, 'EWS': 1}","{'Urban': 42, 'Rural': 18}",6 months,5000,Hybrid,Government,PG,7.5,"Management, Commerce",2025-10-08
I0024,HCLTech,IT,Bangalore,Mysuru,Healthcare,IoT,English,Bangalore,33,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 3}","{'Urban': 23, 'Rural': 10}",4 months,10000,Online,Research,PhD,7.2,"Science, Engineering",2025-11-07
I0025,Wipro,IT,Gurugram,Bangalore,Waste Management,"Finance, Data Science, Cybersecurity, Python",English,Gurugram,40,"{'GEN': 20, 'OBC': 10, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 28, 'Rural': 12}",2 months,15000,Online,NGO,PG,7.1,"Management, Commerce",2025-10-12
I0026,NTPC,Energy,Bhopal,Indore,Energy,Cloud,Regional,Bhopal,32,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 22, 'Rural': 10}",2 months,15000,Hybrid,Corporate,PG,6.4,"Engineering, Science",2025-09-30
I0027,Swiggy,Smart Mobility,Jaipur,Delhi,Mobility,"ML, Java, Python, SQL",English,Jaipur,26,"{'GEN': 13, 'OBC': 7, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 18, 'Rural': 8}",2 months,0,Online,Corporate,PhD,7.5,"Management, Commerce",2025-10-26
I0028,ICICI Bank,Finance,Pune,Mumbai,Water Supply,"Marketing, AI, Cloud, IoT",Hindi,Pune,51,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 35, 'Rural': 16}",4 months,5000,Hybrid,Research,PG,8.1,"Commerce, Management",2025-09-17
I0029,Maruti Suzuki,Manufacturing,Surat,Vadodara,Waste Management,"Blockchain, Cybersecurity, Java, Cloud",Hindi,Surat,24,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 8}",6 months,0,Offline,Government,PG,7.2,"Science, Engineering",2025-11-27
I0030,Zomato,Smart Mobility,Indore,Bhopal,Mobility,"Cybersecurity, Marketing, Data Science, Java",Regional,Indore,32,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 22, 'Rural': 10}",3 months,5000,Offline,NGO,PG,6.9,"Commerce, Management",2025-11-08
I0031,Ola,Smart Mobility,Lucknow,Kanpur,Mobility,"Java, C++",Regional,Lucknow,22,"{'GEN': 11, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 15, 'Rural': 7}",2 months,8000,Hybrid,Research,PG,7.5,"Engineering, Science",2025-11-11
I0032,Infosys,IT,Chandigarh,Delhi,Energy,"Web Dev, AI",Hindi,Chandigarh,35,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 24, 'Rural': 11}",2 months,8000,Offline,Corporate,PhD,6.4,"Commerce, Management",2025-09-27
I0033,Flipkart,E-Governance,Pune,Mumbai,E-Governance,"Public Policy, Blockchain",English,Pune,35,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 24, 'Rural': 11}",3 months,8000,Online,Corporate,PhD,7.9,"Science, Engineering",2025-10-14
I0034,Swiggy,Smart Mobility,Jaipur,Delhi,Mobility,"Marketing, Public Policy, Blockchain",English,Jaipur,24,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 8}",4 months,15000,Offline,Research,PhD,7.6,"Management, Commerce",2025-12-04
I0035,DRDO,Research,Lucknow,Kanpur,Waste Management,"IoT, Marketing",Hindi,Lucknow,53,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 37, 'Rural': 16}",2 months,5000,Offline,NGO,PG,8.4,"Engineering, Science",2025-11-16
I0036,Mahindra & Mahindra,Manufacturing,Bhopal,Indore,Water Supply,Finance,Hindi,Bhopal,36,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 25, 'Rural': 11}",6 months,15000,Offline,NGO,UG,8.5,"Engineering, Science",2025-12-03
I0037,Swiggy,Smart Mobility,Ahmedabad,Surat,Mobility,"Web Dev, IoT, Blockchain, Finance",Hindi,Ahmedabad,46,"{'GEN': 23, 'OBC': 12, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 32, 'Rural': 14}",6 months,5000,Hybrid,Research,PhD,7.3,"Arts, Management",2025-10-12
I0038,Maruti Suzuki,Manufacturing,Patna,Gaya,Mobility,"SQL, Java",English,Patna,29,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 20, 'Rural': 9}",6 months,5000,Hybrid,Corporate,PG,7.2,"Arts, Management",2025-09-24
I0039,OYO,E-Governance,Delhi,Gurugram,E-Governance,Java,Regional,Delhi,47,"{'GEN': 23, 'OBC': 12, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 32, 'Rural': 15}",3 months,15000,Offline,Research,UG,6.6,"Commerce, Management",2025-10-21
I0040,PhonePe,Finance,Surat,Vadodara,Energy,"Finance, App Dev",Regional,Surat,45,"{'GEN': 22, 'OBC': 12, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 31, 'Rural': 14}",3 months,0,Hybrid,Corporate,PhD,8.4,"Arts, Management",2025-11-28
I0041,Microsoft India,IT,Nagpur,Mumbai,Energy,"IoT, Finance, Web Dev",Hindi,Nagpur,26,"{'GEN': 13, 'OBC': 7, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 18, 'Rural': 8}",2 months,15000,Offline,NGO,PG,8.1,"Management, Commerce",2025-10-14
I0042,BHEL,Manufacturing,Bangalore,Mysuru,Waste Management,"Java, Public Policy, Python, C++",Regional,Bangalore,34,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 1}","{'Urban': 23, 'Rural': 11}",2 months,5000,Hybrid,Research,UG,7.1,"Engineering, Science",2025-09-17
I0043,DRDO,Research,Delhi,Gurugram,Healthcare,"Cybersecurity, App Dev, Public Policy, Finance",English,Delhi,34,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 1}","{'Urban': 23, 'Rural': 11}",6 months,0,Offline,NGO,PhD,8.4,"Commerce, Management",2025-10-14
I0044,PhonePe,Finance,Delhi,Gurugram,Waste Management,"IoT, Marketing, Web Dev",Regional,Delhi,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",6 months,10000,Offline,NGO,UG,6.9,"Arts, Management",2025-11-12
I0045,Apollo Hospitals,Healthcare,Kolkata,Durgapur,Healthcare,"C++, Python, Blockchain",Hindi,Kolkata,53,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 37, 'Rural': 16}",6 months,10000,Hybrid,Government,PhD,7.3,"Arts, Management",2025-11-12
I0046,HAL,Manufacturing,Ahmedabad,Surat,Healthcare,C++,Hindi,Ahmedabad,44,"{'GEN': 22, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 14}",6 months,8000,Offline,Corporate,PG,7.7,"Management, Commerce",2025-10-14
I0047,ISRO,Research,Pune,Mumbai,Water Supply,IoT,Hindi,Pune,39,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 27, 'Rural': 12}",2 months,15000,Online,NGO,PG,7.3,"Commerce, Management",2025-10-12
I0048,Mahindra & Mahindra,Manufacturing,Ahmedabad,Surat,Energy,"Public Policy, Python",Hindi,Ahmedabad,35,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 24, 'Rural': 11}",2 months,0,Hybrid,Corporate,UG,7.6,"Commerce, Management",2025-09-26
I0049,Mahindra & Mahindra,Manufacturing,Surat,Vadodara,Mobility,"App Dev, ML, Python, Marketing",Hindi,Surat,34,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 1}","{'Urban': 23, 'Rural': 11}",2 months,5000,Online,Government,PhD,6.7,"Arts, Management",2025-09-26
I0050,Zomato,Smart Mobility,Indore,Bhopal,Mobility,Marketing,Regional,Indore,27,"{'GEN': 13, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 18, 'Rural': 9}",3 months,5000,Online,Research,PG,7.0,"Commerce, Management",2025-10-15
I0051,Adobe India,IT,Kolkata,Durgapur,Healthcare,"Python, IoT, Java, Public Policy",English,Kolkata,49,"{'GEN': 24, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 34, 'Rural': 15}",4 months,15000,Online,NGO,PhD,7.5,"Arts, Management",2025-10-25
I0052,Flipkart,E-Governance,Chandigarh,Delhi,E-Governance,"Finance, Marketing, App Dev",Regional,Chandigarh,28,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 19, 'Rural': 9}",4 months,10000,Online,NGO,PhD,6.7,"Science, Engineering",2025-09-23
I0053,Microsoft India,IT,Patna,Gaya,Water Supply,"ML, Blockchain, Web Dev",Regional,Patna,33,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 3}","{'Urban': 23, 'Rural': 10}",2 months,8000,Online,Corporate,UG,6.2,"Commerce, Management",2025-11-29
I0054,IBM India,IT,Chandigarh,Delhi,Healthcare,"IoT, Public Policy, SQL, Blockchain",Regional,Chandigarh,29,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 20, 'Rural': 9}",3 months,0,Online,NGO,PhD,8.2,"Arts, Management",2025-09-25
I0055,Tata Motors,Manufacturing,Noida,Delhi,Energy,Finance,Regional,Noida,42,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 29, 'Rural': 13}",6 months,10000,Online,Government,PG,6.1,"Science, Engineering",2025-09-25
I0056,AIIMS,Healthcare,Delhi,Gurugram,Healthcare,"Cybersecurity, Data Science, SQL",Regional,Delhi,20,"{'GEN': 10, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 1}","{'Urban': 14, 'Rural': 6}",4 months,5000,Hybrid,NGO,UG,7.1,"Management, Commerce",2025-11-20
I0057,Adobe India,IT,Jaipur,Delhi,Water Supply,"Public Policy, Cybersecurity",Regional,Jaipur,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",6 months,10000,Online,Research,UG,7.2,"Commerce, Management",2025-10-27
I0058,PhonePe,Finance,Surat,Vadodara,Mobility,"Python, Blockchain",Regional,Surat,20,"{'GEN': 10, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 1}","{'Urban': 14, 'Rural': 6}",2 months,10000,Online,Research,PhD,6.7,"Commerce, Management",2025-11-29
I0059,Amazon India,IT,Jaipur,Delhi,Governance,AI,English,Jaipur,26,"{'GEN': 13, 'OBC': 7, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 18, 'Rural': 8}",2 months,8000,Hybrid,Government,PhD,7.8,"Engineering, Science",2025-11-12
I0060,OYO,E-Governance,Jaipur,Delhi,E-Governance,"Cloud, ML",Hindi,Jaipur,41,"{'GEN': 20, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 28, 'Rural': 13}",6 months,15000,Offline,NGO,PG,6.4,"Management, Commerce",2025-09-22
I0061,State Bank of India,Finance,Delhi,Gurugram,Governance,"AI, Web Dev, SQL",Regional,Delhi,56,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 1}","{'Urban': 39, 'Rural': 17}",2 months,0,Offline,Government,PG,7.9,"Arts, Management",2025-10-07
I0062,Mahindra & Mahindra,Manufacturing,Jaipur,Delhi,Healthcare,"Java, IoT, App Dev",English,Jaipur,45,"{'GEN': 22, 'OBC': 12, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 31, 'Rural': 14}",2 months,0,Hybrid,Government,PhD,7.8,"Arts, Management",2025-11-11
I0063,HCLTech,IT,Bhopal,Indore,Water Supply,"AI, Python",Hindi,Bhopal,43,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 13}",2 months,8000,Hybrid,Government,PG,6.2,"Engineering, Science",2025-10-04
I0064,State Bank of India,Finance,Pune,Mumbai,Mobility,"ML, Java, Finance",English,Pune,40,"{'GEN': 20, 'OBC': 10, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 28, 'Rural': 12}",4 months,15000,Online,Corporate,PhD,7.2,"Science, Engineering",2025-11-28
I0065,Amazon India,IT,Mumbai,Pune,Waste Management,"Cybersecurity, App Dev",Regional,Mumbai,25,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 3}","{'Urban': 17, 'Rural': 8}",6 months,8000,Online,Research,UG,7.5,"Engineering, Science",2025-10-30
I0066,Zomato,Smart Mobility,Delhi,Gurugram,Mobility,Public Policy,Regional,Delhi,43,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 13}",6 months,5000,Hybrid,Corporate,PhD,7.6,"Science, Engineering",2025-11-01
I0067,ISRO,Research,Hyderabad,Warangal,Healthcare,"Public Policy, App Dev",Regional,Hyderabad,53,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 37, 'Rural': 16}",6 months,0,Hybrid,Government,PhD,7.6,"Science, Engineering",2025-11-05
I0068,Tata Motors,Manufacturing,Mumbai,Pune,Energy,"Cloud, C++, Java, Finance",Hindi,Mumbai,49,"{'GEN': 24, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 34, 'Rural': 15}",3 months,0,Online,Research,UG,6.3,"Management, Commerce",2025-09-26
I0069,HCLTech,IT,Guwahati,Kolkata,Governance,"Data Science, Web Dev",Regional,Guwahati,52,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 36, 'Rural': 16}",4 months,10000,Hybrid,NGO,PG,7.4,"Management, Commerce",2025-10-23
I0070,Wipro,IT,Gurugram,Mumbai,Energy,"Cybersecurity, C++, Web Dev",Hindi,Gurugram,59,"{'GEN': 29, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 3}","{'Urban': 41, 'Rural': 18}",3 months,0,Hybrid,Government,PhD,6.4,"Commerce, Management",2025-12-01
I0071,Tata Consultancy Services,IT,Surat,Vadodara,Healthcare,"Data Science, ML, App Dev, IoT",Regional,Surat,21,"{'GEN': 10, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 14, 'Rural': 7}",2 months,15000,Online,Research,PhD,8.3,"Management, Commerce",2025-11-30
I0072,HCLTech,IT,Gurugram,Bangalore,Energy,"ML, AI",English,Gurugram,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",4 months,8000,Offline,Corporate,PhD,7.5,"Commerce, Management",2025-11-29
I0073,IBM India,IT,Gurugram,Hyderabad,Water Supply,Data Science,English,Gurugram,43,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 13}",6 months,8000,Online,Government,PhD,8.4,"Engineering, Science",2025-12-02
I0074,NTPC,Energy,Kolkata,Durgapur,Energy,"SQL, Cloud, App Dev",Regional,Kolkata,33,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 3}","{'Urban': 23, 'Rural': 10}",6 months,0,Hybrid,Government,PG,8.0,"Commerce, Management",2025-10-01
I0075,Mahindra & Mahindra,Manufacturing,Surat,Vadodara,Governance,AI,English,Surat,39,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 27, 'Rural': 12}",3 months,0,Online,Government,PhD,6.2,"Commerce, Management",2025-11-06
I0076,PhonePe,Finance,Mumbai,Pune,Energy,"Marketing, ML",Hindi,Mumbai,53,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 37, 'Rural': 16}",4 months,10000,Hybrid,Research,PG,6.7,"Science, Engineering",2025-11-05
I0077,ONGC,Energy,Guwahati,Kolkata,Energy,Java,English,Guwahati,47,"{'GEN': 23, 'OBC': 12, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 32, 'Rural': 15}",2 months,15000,Online,Research,UG,6.7,"Engineering, Science",2025-11-05
I0078,Maruti Suzuki,Manufacturing,Guwahati,Kolkata,Water Supply,"Public Policy, Marketing",English,Guwahati,28,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 19, 'Rural': 9}",2 months,0,Hybrid,NGO,UG,7.8,"Science, Engineering",2025-10-07
I0079,Swiggy,Smart Mobility,Chandigarh,Delhi,Mobility,"Finance, Java, Marketing, Data Science",Regional,Chandigarh,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",6 months,15000,Online,NGO,UG,6.6,"Commerce, Management",2025-09-28
I0080,State Bank of India,Finance,Patna,Gaya,Mobility,"Public Policy, AI, ML, IoT",Regional,Patna,55,"{'GEN': 27, 'OBC': 14, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 38, 'Rural': 17}",6 months,10000,Online,Corporate,UG,7.3,"Management, Commerce",2025-11-11
I0081,Fortis Healthcare,Healthcare,Surat,Vadodara,Healthcare,"Marketing, SQL, IoT",Hindi,Surat,34,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 1}","{'Urban': 23, 'Rural': 11}",3 months,0,Offline,Research,PhD,8.4,"Management, Commerce",2025-11-15
I0082,IBM India,IT,Guwahati,Kolkata,Water Supply,"IoT, App Dev, Cybersecurity",Hindi,Guwahati,57,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 39, 'Rural': 18}",6 months,10000,Hybrid,NGO,PG,6.6,"Science, Engineering",2025-09-21
I0083,Ola,Smart Mobility,Gurugram,Delhi,Mobility,"Finance, SQL, Blockchain",Regional,Gurugram,34,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 1}","{'Urban': 23, 'Rural': 11}",6 months,5000,Online,Research,PhD,6.4,"Management, Commerce",2025-12-05
I0084,ICICI Bank,Finance,Lucknow,Kanpur,Healthcare,"Public Policy, Data Science",Regional,Lucknow,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",2 months,0,Hybrid,NGO,PG,7.7,"Management, Commerce",2025-10-19
I0085,Tata Consultancy Services,IT,Ahmedabad,Surat,Water Supply,"ML, Data Science, Blockchain, App Dev",Regional,Ahmedabad,44,"{'GEN': 22, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 14}",2 months,10000,Offline,NGO,UG,6.8,"Commerce, Management",2025-10-16
I0086,Apollo Hospitals,Healthcare,Noida,Delhi,Healthcare,"Blockchain, SQL, Data Science, AI",English,Noida,54,"{'GEN': 27, 'OBC': 14, 'SC': 8, 'ST': 4, 'EWS': 1}","{'Urban': 37, 'Rural': 17}",4 months,10000,Online,Government,UG,7.1,"Engineering, Science",2025-11-30
I0087,IBM India,IT,Chandigarh,Delhi,Energy,"Marketing, IoT, Data Science",English,Chandigarh,22,"{'GEN': 11, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 15, 'Rural': 7}",3 months,10000,Hybrid,Government,UG,7.3,"Management, Commerce",2025-11-19
